Software,EOL Info,URL
Apache Camel,"[['4.9', '17, 21', '2 months and 1 week ago (29 Nov 2024)', 'Yes', '4.9.0 (29 Nov 2024)'], ['4.8 ( LTS )', '17, 21', '4 months and 3 weeks ago (10 Sep 2024)', 'Ends\n        in 7 months (10 Sep 2025)', '4.8.3 (08 Jan 2025)'], ['4.7', '17, 21', '7 months ago (09 Jul 2024)', 'Ended\n        4 months and 3 weeks ago (10 Sep 2024)', '4.7.0 (09 Jul 2024)'], ['4.6', '17, 21', '9 months ago (05 May 2024)', 'Ended\n        6 months and 3 weeks ago (13 Jul 2024)', '4.6.0 (05 May 2024)'], ['4.5', '17, 21', '10 months ago (23 Mar 2024)', 'Ended\n        9 months ago (10 May 2024)', '4.5.0 (23 Mar 2024)'], ['4.4 ( LTS )', '17, 21', '11 months ago (12 Feb 2024)', 'Ends\n        in 1 week and 1 day (12 Feb 2025)', '4.4.5 (17 Jan 2025)'], ['3.22 ( LTS )', '11, 17', '1 year and 1 month ago (19 Dec 2023)', 'Ended\n        1 month and 1 week ago (26 Dec 2024)', '3.22.3 (16 Dec 2024)'], ['4.3', '17, 21', '1 year and 1 month ago (11 Dec 2023)', 'Ended\n        11 months ago (12 Feb 2024)', '4.3.0 (11 Dec 2023)'], ['4.2', '17, 21', '1 year and 2 months ago (10 Nov 2023)', 'Ended\n        1 year and 1 month ago (18 Dec 2023)', '4.2.0 (10 Nov 2023)'], ['4.1', '17', '1 year and 4 months ago (06 Oct 2023)', 'Ended\n        1 year and 2 months ago (15 Nov 2023)', '4.1.0 (06 Oct 2023)'], ['4.0 ( LTS )', '17', '1 year and 5 months ago (10 Aug 2023)', 'Ended\n        5 months and 4 weeks ago (10 Aug 2024)', '4.0.6 (06 Aug 2024)'], ['3.21 ( LTS )', '11, 17', '1 year and 7 months ago (23 Jun 2023)', 'Ended\n        7 months ago (23 Jun 2024)', '3.21.5 (13 Jun 2024)'], ['3.20 ( LTS )', '11, 17', '2 years ago (16 Dec 2022)', 'Ended\n        1 year ago (31 Dec 2023)', '3.20.9 (08 Dec 2023)'], ['3.19', '11, 17', '2 years and 4 months ago (29 Sep 2022)', 'Ended\n        2 years ago (16 Dec 2022)', '3.19.0 (29 Sep 2022)'], ['3.18 ( LTS )', '11, 17', '2 years and 7 months ago (02 Jul 2022)', 'Ended\n        1 year and 6 months ago (31 Jul 2023)', '3.18.8 (10 Jun 2023)'], ['3.17', '11, 17', '2 years and 8 months ago (15 May 2022)', 'Ended\n        2 years and 7 months ago (02 Jul 2022)', '3.17.0 (15 May 2022)'], ['3.16', '11', '2 years and 10 months ago (22 Mar 2022)', 'Ended\n        2 years and 8 months ago (15 May 2022)', '3.16.0 (22 Mar 2022)'], ['3.15', '11', '3 years ago (31 Jan 2022)', 'Ended\n        2 years and 10 months ago (22 Mar 2022)', '3.15.0 (31 Jan 2022)'], ['3.14 ( LTS )', '8, 11', '3 years ago (12 Dec 2021)', 'Ended\n        2 years ago (31 Dec 2022)', '3.14.10 (04 Nov 2023)'], ['3.13', '8, 11', '3 years ago (08 Nov 2021)', 'Ended\n        3 years ago (12 Dec 2021)', '3.13.0 (08 Nov 2021)'], ['3.12', '8, 11', '3 years and 4 months ago (28 Sep 2021)', 'Ended\n        3 years ago (08 Nov 2021)', '3.12.0 (28 Sep 2021)'], ['3.11 ( LTS )', '8, 11', '3 years and 7 months ago (23 Jun 2021)', 'Ended\n        2 years and 7 months ago (30 Jun 2022)', '3.11.7 (01 May 2022)'], ['3.10', '8, 11', '3 years and 8 months ago (15 May 2021)', 'Ended\n        3 years and 7 months ago (23 Jun 2021)', '3.10.0 (15 May 2021)'], ['3.9', '8, 11', '3 years and 10 months ago (22 Mar 2021)', 'Ended\n        3 years and 8 months ago (15 May 2021)', '3.9.0 (22 Mar 2021)'], ['3.8', '8, 11', '3 years and 12 months ago (09 Feb 2021)', 'Ended\n        3 years and 10 months ago (22 Mar 2021)', '3.8.0 (09 Feb 2021)'], ['3.7 ( LTS )', '8, 11', '4 years ago (11 Dec 2020)', 'Ended\n        3 years ago (31 Dec 2021)', '3.7.7 (17 Dec 2021)'], ['3.6', '8, 11', '4 years ago (16 Oct 2020)', 'Ended\n        4 years ago (11 Dec 2020)', '3.6.0 (16 Oct 2020)'], ['3.5', '8, 11', '4 years ago (31 Aug 2020)', 'Ended\n        4 years ago (16 Oct 2020)', '3.5.0 (31 Aug 2020)'], ['3.4 ( LTS )', '8, 11', '4 years and 7 months ago (14 Jun 2020)', 'Ended\n        3 years and 7 months ago (30 Jun 2021)', '3.4.6 (17 Jun 2021)'], ['3.3', '8, 11', '4 years and 9 months ago (10 May 2020)', 'Ended\n        4 years and 7 months ago (14 Jun 2020)', '3.3.0 (10 May 2020)'], ['3.2', '8, 11', '4 years and 10 months ago (01 Apr 2020)', 'Ended\n        4 years and 9 months ago (10 May 2020)', '3.2.0 (01 Apr 2020)'], ['3.1', '8, 11', '4 years and 11 months ago (20 Feb 2020)', 'Ended\n        4 years and 10 months ago (01 Apr 2020)', '3.1.0 (20 Feb 2020)'], ['2.25 ( LTS )', '8', '5 years ago (19 Jan 2020)', 'Ended\n        3 years ago (31 Jan 2022)', '2.25.4 (24 May 2021)'], ['3.0', '8, 11', '5 years ago (24 Nov 2019)', 'Ended\n        4 years and 11 months ago (20 Feb 2020)', '3.0.1 (11 Jan 2020)']]",https://endoflife.date/apache-camel
Apache APISIX,"[{'version': '3.11', 'release_date': '2024-10-17', 'eol_date': False, 'latest_version': '3.11.0', 'latest_release_date': '2024-10-17', 'support_status': 'Critical Support'}, {'version': '3.10', 'release_date': '2024-08-14', 'eol_date': '2024-10-17', 'latest_version': '3.10.0', 'latest_release_date': '2024-08-14', 'support_status': '2024-10-17'}, {'version': '3.9', 'release_date': '2024-03-20', 'eol_date': '2024-08-14', 'latest_version': '3.9.1', 'latest_release_date': '2024-04-24', 'support_status': '2024-08-14'}, {'version': '3.8', 'release_date': '2024-01-09', 'eol_date': '2024-03-20', 'latest_version': '3.8.1', 'latest_release_date': '2024-04-29', 'support_status': '2024-03-20'}, {'version': '3.7', 'release_date': '2023-11-17', 'eol_date': '2024-01-09', 'latest_version': '3.7.0', 'latest_release_date': '2023-11-21', 'support_status': '2024-01-09'}, {'version': '3.6', 'release_date': '2023-10-01', 'eol_date': '2023-11-17', 'latest_version': '3.6.0', 'latest_release_date': '2023-10-04', 'support_status': '2023-11-17'}, {'version': '3.5', 'release_date': '2023-08-29', 'eol_date': '2023-10-01', 'latest_version': '3.5.0', 'latest_release_date': '2023-09-01', 'support_status': '2023-10-01'}, {'version': '3.4', 'release_date': '2023-06-27', 'eol_date': '2023-08-29', 'latest_version': '3.4.1', 'latest_release_date': '2023-07-20', 'support_status': '2023-08-29'}, {'version': '3.3', 'release_date': '2023-04-30', 'eol_date': '2023-06-27', 'latest_version': '3.3.0', 'latest_release_date': '2023-05-04', 'support_status': '2023-06-27'}, {'version': '3.2', 'release_date': '2023-03-06', 'eol_date': False, 'latest_version': '3.2.2', 'latest_release_date': '2023-07-22', 'support_status': 'Active Support'}, {'version': '3.1', 'release_date': '2022-12-26', 'eol_date': '2023-03-06', 'latest_version': '3.1.0', 'latest_release_date': '2022-12-29', 'support_status': '2023-03-06'}, {'version': '3.0', 'release_date': '2022-10-26', 'eol_date': '2022-12-26', 'latest_version': '3.0.0', 'latest_release_date': '2022-11-02', 'support_status': '2022-12-26'}, {'version': '2.15', 'release_date': '2022-07-22', 'eol_date': '2023-03-03', 'latest_version': '2.15.3', 'latest_release_date': '2023-03-07', 'support_status': '2023-03-03'}, {'version': '2.14', 'release_date': '2022-05-23', 'eol_date': '2022-07-22', 'latest_version': '2.14.1', 'latest_release_date': '2022-05-27', 'support_status': '2022-07-22'}, {'version': '2.13', 'release_date': '2022-03-21', 'eol_date': '2022-08-19', 'latest_version': '2.13.3', 'latest_release_date': '2022-08-26', 'support_status': '2022-08-19'}, {'version': '2.12', 'release_date': '2022-01-20', 'eol_date': '2022-03-21', 'latest_version': '2.12.1', 'latest_release_date': '2022-02-10', 'support_status': '2022-03-21'}, {'version': '2.11', 'release_date': '2021-11-23', 'eol_date': '2022-01-20', 'latest_version': '2.11.0', 'latest_release_date': '2021-11-29', 'support_status': '2022-01-20'}, {'version': '2.10', 'release_date': '2021-09-24', 'eol_date': '2022-04-01', 'latest_version': '2.10.5', 'latest_release_date': '2022-04-05', 'support_status': '2022-04-01'}]",https://endoflife.date/apache-apisix
Angular,"[{'version': '19', 'release_date': '2024-11-19', 'eol_date': '2026-05-19', 'latest_version': '19.1.4', 'latest_release_date': '2025-01-29', 'support_status': '2026-05-19'}, {'version': '18', 'release_date': '2024-05-22', 'eol_date': '2025-11-19', 'latest_version': '18.2.13', 'latest_release_date': '2024-11-26', 'support_status': '2025-11-19'}, {'version': '17', 'release_date': '2023-11-08', 'eol_date': '2025-05-15', 'latest_version': '17.3.12', 'latest_release_date': '2024-07-17', 'support_status': '2025-05-15'}, {'version': '16', 'release_date': '2023-05-03', 'eol_date': '2024-11-08', 'latest_version': '16.2.12', 'latest_release_date': '2023-11-02', 'support_status': '2024-11-08'}, {'version': '15', 'release_date': '2022-11-16', 'eol_date': '2024-05-18', 'latest_version': '15.2.10', 'latest_release_date': '2023-10-04', 'support_status': '2024-05-18'}, {'version': '14', 'release_date': '2022-06-02', 'eol_date': '2023-11-18', 'latest_version': '14.3.0', 'latest_release_date': '2023-03-13', 'support_status': '2023-11-18'}, {'version': '13', 'release_date': '2021-11-03', 'eol_date': '2023-05-04', 'latest_version': '13.4.0', 'latest_release_date': '2023-04-06', 'support_status': '2023-05-04'}, {'version': '12', 'release_date': '2021-05-13', 'eol_date': '2022-11-12', 'latest_version': '12.2.17', 'latest_release_date': '2022-11-22', 'support_status': '2022-11-12'}, {'version': '11', 'release_date': '2020-11-11', 'eol_date': '2022-05-11', 'latest_version': '11.2.14', 'latest_release_date': '2021-05-12', 'support_status': '2022-05-11'}, {'version': '10', 'release_date': '2020-06-24', 'eol_date': '2021-12-24', 'latest_version': '10.2.5', 'latest_release_date': '2021-04-21', 'support_status': '2021-12-24'}, {'version': '9', 'release_date': '2020-02-06', 'eol_date': '2021-08-06', 'latest_version': '9.1.13', 'latest_release_date': '2020-12-16', 'support_status': '2021-08-06'}]",https://endoflife.date/angular
Angular JS,"[{'version': '1.8', 'release_date': '2020-06-04', 'eol_date': '2021-12-31', 'latest_version': '1.8.3', 'latest_release_date': '2022-04-07', 'support_status': '2021-12-31'}, {'version': '1.7', 'release_date': '2018-05-11', 'eol_date': '2021-12-31', 'latest_version': '1.7.9', 'latest_release_date': '2019-11-19', 'support_status': '2021-12-31'}, {'version': '1.6', 'release_date': '2016-12-08', 'eol_date': '2021-12-31', 'latest_version': '1.6.10', 'latest_release_date': '2018-04-17', 'support_status': '2021-12-31'}, {'version': '1.5', 'release_date': '2016-02-05', 'eol_date': '2021-12-31', 'latest_version': '1.5.11', 'latest_release_date': '2017-01-12', 'support_status': '2021-12-31'}, {'version': '1.4', 'release_date': '2015-05-27', 'eol_date': '2021-12-31', 'latest_version': '1.4.14', 'latest_release_date': '2016-10-11', 'support_status': '2021-12-31'}, {'version': '1.3', 'release_date': '2014-10-13', 'eol_date': '2021-12-31', 'latest_version': '1.3.20', 'latest_release_date': '2015-09-29', 'support_status': '2021-12-31'}, {'version': '1.2', 'release_date': '2013-11-23', 'eol_date': '2021-12-31', 'latest_version': '1.2.32', 'latest_release_date': '2016-10-11', 'support_status': '2021-12-31'}, {'version': '1.1', 'release_date': '2013-11-23', 'eol_date': '2021-12-31', 'latest_version': '1.1.5', 'latest_release_date': '2013-11-23', 'support_status': '2021-12-31'}, {'version': '1.0', 'release_date': '2013-11-23', 'eol_date': '2021-12-31', 'latest_version': '1.0.8', 'latest_release_date': '2013-11-23', 'support_status': '2021-12-31'}]",https://endoflife.date/angular-js
AngularJS,"[{'version': '1.8', 'release_date': '2020-06-04', 'eol_date': '2021-12-31', 'latest_version': '1.8.3', 'latest_release_date': '2022-04-07', 'support_status': '2021-12-31'}, {'version': '1.7', 'release_date': '2018-05-11', 'eol_date': '2021-12-31', 'latest_version': '1.7.9', 'latest_release_date': '2019-11-19', 'support_status': '2021-12-31'}, {'version': '1.6', 'release_date': '2016-12-08', 'eol_date': '2021-12-31', 'latest_version': '1.6.10', 'latest_release_date': '2018-04-17', 'support_status': '2021-12-31'}, {'version': '1.5', 'release_date': '2016-02-05', 'eol_date': '2021-12-31', 'latest_version': '1.5.11', 'latest_release_date': '2017-01-12', 'support_status': '2021-12-31'}, {'version': '1.4', 'release_date': '2015-05-27', 'eol_date': '2021-12-31', 'latest_version': '1.4.14', 'latest_release_date': '2016-10-11', 'support_status': '2021-12-31'}, {'version': '1.3', 'release_date': '2014-10-13', 'eol_date': '2021-12-31', 'latest_version': '1.3.20', 'latest_release_date': '2015-09-29', 'support_status': '2021-12-31'}, {'version': '1.2', 'release_date': '2013-11-23', 'eol_date': '2021-12-31', 'latest_version': '1.2.32', 'latest_release_date': '2016-10-11', 'support_status': '2021-12-31'}, {'version': '1.1', 'release_date': '2013-11-23', 'eol_date': '2021-12-31', 'latest_version': '1.1.5', 'latest_release_date': '2013-11-23', 'support_status': '2021-12-31'}, {'version': '1.0', 'release_date': '2013-11-23', 'eol_date': '2021-12-31', 'latest_version': '1.0.8', 'latest_release_date': '2013-11-23', 'support_status': '2021-12-31'}]",https://endoflife.date/angularjs
Amazon Glue,"[{'version': '4.0', 'release_date': '2022-11-28', 'eol_date': False, 'latest_version': 'N/A', 'latest_release_date': 'N/A', 'support_status': 'Critical Support'}, {'version': '3.0', 'release_date': '2021-08-19', 'eol_date': False, 'latest_version': 'N/A', 'latest_release_date': 'N/A', 'support_status': 'Critical Support'}, {'version': '2.0', 'release_date': '2020-08-10', 'eol_date': '2024-01-31', 'latest_version': 'N/A', 'latest_release_date': 'N/A', 'support_status': '2024-01-31'}, {'version': '1.0-python-3', 'release_date': '2019-07-25', 'eol_date': '2022-09-30', 'latest_version': 'N/A', 'latest_release_date': 'N/A', 'support_status': '2022-09-30'}, {'version': '1.0-python-2', 'release_date': '2019-07-25', 'eol_date': '2022-06-01', 'latest_version': 'N/A', 'latest_release_date': 'N/A', 'support_status': '2022-06-01'}, {'version': '0.9', 'release_date': '2019-07-25', 'eol_date': '2022-06-01', 'latest_version': 'N/A', 'latest_release_date': 'N/A', 'support_status': '2022-06-01'}]",https://endoflife.date/amazon-glue
Amazon Kindle,"[{'version': 'kindle-scribe', 'release_date': '2022-11-30', 'eol_date': False, 'latest_version': '5.16.10.0.1', 'latest_release_date': '2024-07-01', 'support_status': 'Critical Support'}, {'version': 'kindle-11', 'release_date': '2022-09-13', 'eol_date': False, 'latest_version': '5.16.10.0.1', 'latest_release_date': '2024-07-01', 'support_status': 'Critical Support'}, {'version': 'paperwhite-11', 'release_date': '2021-10-27', 'eol_date': False, 'latest_version': '5.16.10.0.1', 'latest_release_date': '2024-07-01', 'support_status': 'Critical Support'}, {'version': 'oasis-10', 'release_date': '2019-07-24', 'eol_date': False, 'latest_version': '5.16.10.0.1', 'latest_release_date': '2024-07-01', 'support_status': 'Critical Support'}, {'version': 'kindle-10', 'release_date': '2019-04-10', 'eol_date': False, 'latest_version': '5.16.10.0.1', 'latest_release_date': '2024-07-01', 'support_status': 'Critical Support'}, {'version': 'paperwhite-10', 'release_date': '2018-11-07', 'eol_date': False, 'latest_version': '5.16.10.0.1', 'latest_release_date': '2024-07-01', 'support_status': 'Critical Support'}, {'version': 'oasis-9', 'release_date': '2017-10-31', 'eol_date': False, 'latest_version': '5.16.2.1.1', 'latest_release_date': '2023-06-01', 'support_status': 'Critical Support'}, {'version': 'kindle-8', 'release_date': '2016-06-22', 'eol_date': False, 'latest_version': '5.16.2.1.1', 'latest_release_date': '2023-06-01', 'support_status': 'Critical Support'}, {'version': 'oasis-8', 'release_date': '2016-04-27', 'eol_date': False, 'latest_version': '5.16.2.1.1', 'latest_release_date': '2023-06-01', 'support_status': 'Critical Support'}, {'version': 'paperwhite-7', 'release_date': '2015-06-30', 'eol_date': False, 'latest_version': '5.16.2.1.1', 'latest_release_date': '2023-06-01', 'support_status': 'Critical Support'}, {'version': 'voyage-7', 'release_date': '2014-11-04', 'eol_date': '2021-04-01', 'latest_version': '5.13.6', 'latest_release_date': '2021-04-01', 'support_status': '2021-04-01'}, {'version': 'kindle-7', 'release_date': '2014-10-02', 'eol_date': '2019-10-01', 'latest_version': '5.12.2.2', 'latest_release_date': 'N/A', 'support_status': '2019-10-01'}, {'version': 'paperwhite-6', 'release_date': '2013-09-30', 'eol_date': '2019-10-01', 'latest_version': '5.12.2.2', 'latest_release_date': 'N/A', 'support_status': '2019-10-01'}, {'version': 'paperwhite-5', 'release_date': '2012-10-01', 'eol_date': '2015-06-26', 'latest_version': '5.6.1.1', 'latest_release_date': '2015-06-26', 'support_status': '2015-06-26'}, {'version': 'kindle-5', 'release_date': '2012-09-06', 'eol_date': True, 'latest_version': '4.1.4', 'latest_release_date': 'N/A', 'support_status': True}, {'version': 'kindle-4', 'release_date': '2011-09-28', 'eol_date': True, 'latest_version': '4.1.4', 'latest_release_date': 'N/A', 'support_status': True}, {'version': 'touch-4', 'release_date': '2011-09-28', 'eol_date': True, 'latest_version': '5.3.7.3', 'latest_release_date': 'N/A', 'support_status': True}, {'version': 'keyboard-3', 'release_date': '2010-08-27', 'eol_date': True, 'latest_version': '3.4.3', 'latest_release_date': 'N/A', 'support_status': True}, {'version': 'dx-2', 'release_date': '2009-06-10', 'eol_date': True, 'latest_version': '2.5.8', 'latest_release_date': 'N/A', 'support_status': True}, {'version': 'kindle-2', 'release_date': '2009-02-23', 'eol_date': True, 'latest_version': '2.5.8', 'latest_release_date': 'N/A', 'support_status': True}, {'version': 'kindle-1', 'release_date': '2007-11-19', 'eol_date': True, 'latest_version': '1.2.1', 'latest_release_date': 'N/A', 'support_status': True}]",https://endoflife.date/amazon-kindle
Apache Flink,"[{'version': '1.20', 'release_date': '2024-08-01', 'eol_date': False, 'latest_version': '1.20.0', 'latest_release_date': '2024-08-01', 'support_status': 'Critical Support'}, {'version': '1.19', 'release_date': '2024-03-15', 'eol_date': False, 'latest_version': '1.19.1', 'latest_release_date': '2024-06-14', 'support_status': 'Critical Support'}, {'version': '1.18', 'release_date': '2023-10-24', 'eol_date': False, 'latest_version': '1.18.1', 'latest_release_date': '2024-01-16', 'support_status': 'Critical Support'}, {'version': '1.17', 'release_date': '2023-03-23', 'eol_date': False, 'latest_version': '1.17.2', 'latest_release_date': '2023-11-27', 'support_status': 'Critical Support'}]",https://endoflife.date/apache-flink
Apache Airflow,"[{'version': '2', 'release_date': '2020-12-17', 'eol_date': 'Not Set', 'latest_version': '2.10.4', 'latest_release_date': '2024-12-16', 'support_status': 'Critical Support (No EOL Date Set)'}, {'version': '1.10', 'release_date': '2018-08-27', 'eol_date': '2021-06-17', 'latest_version': '1.10.15', 'latest_release_date': '2021-03-17', 'support_status': '2021-06-17'}, {'version': '1.9', 'release_date': '2018-01-02', 'eol_date': '2018-08-27', 'latest_version': '1.9.0', 'latest_release_date': '2018-01-02', 'support_status': '2018-08-27'}, {'version': '1.8', 'release_date': '2017-05-09', 'eol_date': '2018-01-03', 'latest_version': '1.8.2', 'latest_release_date': '2017-09-04', 'support_status': '2018-01-03'}, {'version': '1.7', 'release_date': '2016-03-28', 'eol_date': '2017-03-19', 'latest_version': '1.7.1.2', 'latest_release_date': '2017-05-20', 'support_status': '2017-03-19'}]",https://endoflife.date/apache-airflow
Amazon Linux,"[{'version': '2023', 'release_date': '2023-03-01', 'eol_date': '2029-06-30', 'latest_version': '2023.6.20250128.0', 'latest_release_date': '2025-02-01', 'support_status': '2029-06-30'}, {'version': '2', 'release_date': '2018-06-26', 'eol_date': '2026-06-30', 'latest_version': '2.0.20250123.4', 'latest_release_date': '2025-02-01', 'support_status': '2026-06-30'}, {'version': '2018.03', 'release_date': '2018-04-25', 'eol_date': '2023-12-31', 'latest_version': '2018.03.0.20231218.0', 'latest_release_date': '2025-01-08', 'support_status': '2023-12-31'}, {'version': '2017.09', 'release_date': '2017-11-03', 'eol_date': '2023-12-31', 'latest_version': '2017.09.1.20180409', 'latest_release_date': '2018-04-10', 'support_status': '2023-12-31'}, {'version': '2017.03', 'release_date': '2017-04-07', 'eol_date': '2023-12-31', 'latest_version': '2017.03.1.20170812', 'latest_release_date': '2017-11-03', 'support_status': '2023-12-31'}, {'version': '2016.09', 'release_date': '2016-11-16', 'eol_date': '2023-12-31', 'latest_version': '2016.09.1.20161221', 'latest_release_date': '2017-11-03', 'support_status': '2023-12-31'}, {'version': '2016.03', 'release_date': '2016-03-22', 'eol_date': '2023-12-31', 'latest_version': '2016.03', 'latest_release_date': 'N/A', 'support_status': '2023-12-31'}, {'version': '2015.09', 'release_date': '2015-09-22', 'eol_date': '2023-12-31', 'latest_version': '2015.09', 'latest_release_date': 'N/A', 'support_status': '2023-12-31'}, {'version': '2015.03', 'release_date': '2015-03-24', 'eol_date': '2023-12-31', 'latest_version': '2015.03', 'latest_release_date': 'N/A', 'support_status': '2023-12-31'}, {'version': '2014.09', 'release_date': '2014-09-23', 'eol_date': '2023-12-31', 'latest_version': '2014.09', 'latest_release_date': 'N/A', 'support_status': '2023-12-31'}, {'version': '2014.03', 'release_date': '2014-03-27', 'eol_date': '2023-12-31', 'latest_version': '2014.03', 'latest_release_date': 'N/A', 'support_status': '2023-12-31'}, {'version': '2013.09', 'release_date': '2013-09-30', 'eol_date': '2023-12-31', 'latest_version': '2013.09', 'latest_release_date': 'N/A', 'support_status': '2023-12-31'}, {'version': '2013.03', 'release_date': '2013-03-27', 'eol_date': '2023-12-31', 'latest_version': '2013.03', 'latest_release_date': 'N/A', 'support_status': '2023-12-31'}, {'version': '2012.09', 'release_date': '2012-10-11', 'eol_date': '2023-12-31', 'latest_version': '2012.09', 'latest_release_date': 'N/A', 'support_status': '2023-12-31'}, {'version': '2012.03', 'release_date': '2012-03-28', 'eol_date': '2023-12-31', 'latest_version': '2012.03', 'latest_release_date': 'N/A', 'support_status': '2023-12-31'}, {'version': '2011.09', 'release_date': '2011-09-26', 'eol_date': '2023-12-31', 'latest_version': '2011.09', 'latest_release_date': 'N/A', 'support_status': '2023-12-31'}, {'version': '2010.11', 'release_date': '2010-12-01', 'eol_date': '2023-12-31', 'latest_version': '2010.11', 'latest_release_date': 'N/A', 'support_status': '2023-12-31'}]",https://endoflife.date/amazon-linux
